section,section_id,section_sis_id,"1641685: What percentage of the course do you think should be focused on mathematical theory (like formulas and proofs) versus practical application (like coding, examples, and hands-on projects)?",1641686: How comfortable are you with math right now?,"1641687: Besides math, what is one thing you would like to see MORE of in this course? (e.g., more coding labs, real-world case studies, group projects, etc.)",score
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"A little rusty, but I can manage.","I think having one group semester long project is good enough for group-work.

What's needed though is more practice assignments or labs for applying what's discussed in the course python notebooks (though it's still pretty early in the course so maybe some of those are planned).

So far when delving in the machine learning concepts in class, I'm personally still digesting the content then there is no textbook to clarify what was meant (it feels fragmented in class) and there hasn't been a way to expand what was said or reinforce my understanding with what was taught in class/that week. Are there any known online sources that gamify machine learning code concepts? Any reading recommendations or workbook questions if the student needs more practice?

I think there should be small bite-sized assignments that have specific focus but useful. Then some popular machine learning problems that say a lot. The notebooks have been nice but still feels fragmented and I've been having a hard time reading what is typed on the board (too small). 

Though so far the Introduction to Machine Learning with Python by Andreas C. Müller and Sarah Guido (very accessible with free PDFs online) has been helpful. But maybe there are other reading resources that are well-known (websites/textbook) more closely related to this class. A previous course I took about computer network security with Dr. Kolias would not only explain in class but post associated reading snippet for what's being talked about that day/week -- this was nice.",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"A little rusty, but I can manage.",Real-world case studies would be really cool to see more of and talk about,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,I am fine with whatever.,Pretty confident.,"I really like how the classes are going
Explaining while writing code in .ipynb where we also do the same - which literally gives me hands on experience on new topics that I'm learning in this class",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,40% Math / 60% Application,"Neutral, I'm okay with it.","I would like to see more of some real world case studies, and also looking forward to the group projects too. ",20.0
F25  CS5771-01 202510 49109,40951,202510_49109,25% Math / 75% Application,"A little rusty, but I can manage.",More practical coding examples explained step by step,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"Neutral, I'm okay with it.","I would like to see real world applications. In the real world, I don't need to understand the math on an intimate level endless I am actively tweaking it. It's important to be able to identify the math that is involved, but 90% of people will never need it so complex. I learn best with projects. If you want us to know the math on a personal level, make it integrated into an assignment. Otherwise lectures on pure math go in one ear and out the other. I am a CS Major because I'm very good at logical problem solving, not because I'm a math wiz.",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,40% Math / 60% Application,"Neutral, I'm okay with it.","I would like to see more complete examples of already complete functional models that we can interact with, to demonstrate the outcome and expectations of a model. I this would help me better understand what I need to strife for in the work I do for the class.",20.0
F25  CS5771-01 202510 49109,40951,202510_49109,25% Math / 75% Application,"A little rusty, but I can manage.","While the project will give us valuable practice, I’d also like to see more short, hands-on coding labs using real-world datasets built into the course. This would let us apply concepts incrementally as we learn them, rather than waiting until the final project.",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,40% Math / 60% Application,"Neutral, I'm okay with it.","The .ipynb interactive notebooks are great, but I think it would be helpful to see less isolated code one-liners and more complete code, even if it's just basic projects. The semester-long research project will be helpful in conceptualizing real-world machine learning ideas. However, it might be a good idea to take a class to go through a real-world data set, and have the class clean and normalize that data, and create a machine-learning model that does something with that data. This may be naive of me to say, since professors probably already feel limited in their class time, and some may view an idea like this as something students should do on their own time, but I think it would be helpful.",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"A little rusty, but I can manage.",Real-world examples,20.0
F25  CS5771-01 202510 49109,40951,202510_49109,10% Math / 90% Application,"Neutral, I'm okay with it.",Real-world case studies ,20.0
F25  CS5771-01 202510 49109,40951,202510_49109,25% Math / 75% Application,"A little rusty, but I can manage.","I would like to see more application. Let me give an example: let's say we are learning about linear regression in the class. Then if we get a few real world examples where this model is being used, how they modify or add things to the base algorithm to serve their needs then it will be more helpful for me as a student to not only grasp the concept but also understand the importance of a perticular topic.",20.0
F25  CS4771-71 202510 49800,39766,202510_49800,10% Math / 90% Application,"Neutral, I'm okay with it.","Coding labs, putting it to use",20.0
F25  CS5771-01 202510 49109,40951,202510_49109,40% Math / 60% Application,"Neutral, I'm okay with it.","I would like more case studies or articles about machine learning models, especially those that demonstrate real-world applications. I’m interested in examples where the implementation of machine learning has been clearly explained and applied in well-known or widely used applications.",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"A little rusty, but I can manage.",I believe hands-on experience with coding and projects would be the best approach to make this class memorable. ,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,I am fine with whatever.,"Very comfortable, bring on the equations!","I like the math, but it needs to be slower and less messy so we can actually follow along.",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,40% Math / 60% Application,"Neutral, I'm okay with it.","playing with kaggle datasets, or how to solve kaggle swag competitions. ",20.0
F25-CS4771-01 202510 48912,40373,202510_48912,10% Math / 90% Application,"A little rusty, but I can manage.","Real-world case studies, examples of machine learning, small projects! I would like application over theory.",20.0
F25  CS5771-01 202510 49109,40951,202510_49109,25% Math / 75% Application,"A little rusty, but I can manage.",It would be great if we could have mini-assignments for real-world case studies that helps us apply different algorithms and techniques to practice.,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,25% Math / 75% Application,Pretty confident.,I would like to see more real-world case studies. Seeing how machine learning is applied in industry or research makes the material feel more relevant and gives me ideas about possible projects.,20.0
F25-CS4771-01 202510 48912,40373,202510_48912,25% Math / 75% Application,"A little rusty, but I can manage.","Coding labs are great, especially a walk through / do on your own during class type lecture. An in depth breakdown of how models are trained, why you are using certain models or libraries, or what parameters are being changed / pre-set and why. Also when teaching the code, it would be good to point out where the math is used in the code so that I know why and where the math is important, and what its doing in more simplistic terms. Also I know you didnt want to hear about the math in this section, however a general formula sheet / topics of ML sheet would be very helpful so I know what equations and concepts to study if I want to expand my knowledge outside of class.",20.0
F25-CS5771-11 202510 50901,41384,202510_50901,25% Math / 75% Application,Pretty confident.,"Real-world case studies are always welcome.

I greatly prefer no group projects since I am taking this through Engineering Outreach.",20.0
F25  CS5771-01 202510 49109,40951,202510_49109,40% Math / 60% Application,"Neutral, I'm okay with it.","I would like to study more real-world case. Moreover, I would like to see more on error analysis and model evaluation. How to adjust and improve the model to predict more precisely. How the quality of the data  set influence good and bad of a model.",20.0
