MONTH,DAY_OF_MONTH,FL_DATE,MKT_CARRIER,OP_CARRIER,ORIGIN,DEST,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_1hrpre,CRS_DEP_1hrpost,DEP_1hrpre_num,Arr_1hrpre_num,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,FAA_class,scheduled_Turnarnd,Scheduled_DEP,Scheduled_ARR_Ori,Actual_ARR_dt_Ori,Scheduled_DEP_EST,Scheduled_ARR_EST,Scheduled_ARR_Local,late_airjet_when_turnaround_within_180,day_of_week,DEP_DEL15
4,22,2023-04-22,F9,F9,RDU,SJU,200.0,1433,22APR23:13:00:00,22APR23:15:00:00,7,6,76,53,63.0,52.0,0.66,6.256629,0.0,63.934284,Med,82.0,04/22/2023 14:26:00,04/22/2023 17:46:00,04/22/2023 18:39:00,04/22/2023 14:26:00,04/22/2023 17:46:00,04/22/2023 17:46:00,1,Saturday,1.0
8,10,2023-08-10,UA,UA,SFO,PHX,129.0,651,10AUG23:15:00:00,10AUG23:17:00:00,15,32,81,59,61.0,55.0,0.0,6.5173216,0.0,66.92537,Lrg,60.0,08/10/2023 16:32:00,08/10/2023 18:41:00,08/10/2023 18:43:00,08/10/2023 19:32:00,08/10/2023 22:41:00,08/10/2023 18:41:00,0,Thursday,0.0
5,23,2023-05-23,B6,B6,BOS,EWR,88.0,200,23MAY23:08:00:00,23MAY23:10:00:00,31,28,59,49,50.0,34.0,0.0,7.994581,0.0,54.50586,Lrg,39.0,05/23/2023  9:10:00,05/23/2023 10:38:00,05/23/2023 10:20:00,05/23/2023  9:10:00,05/23/2023 10:38:00,05/23/2023 10:38:00,0,Tuesday,0.0
6,30,2023-06-30,NK,NK,LAX,IAH,204.0,1379,30JUN23:10:00:00,30JUN23:12:00:00,34,24,69,57,59.0,55.9,0.0,5.995936,0.0,62.2154,Lrg,62.0,06/30/2023 11:40:00,06/30/2023 15:04:00,06/30/2023 15:09:00,06/30/2023 14:40:00,06/30/2023 18:04:00,06/30/2023 17:04:00,0,Friday,0.0
11,23,2023-11-23,WN,WN,STL,MDW,70.0,251,23NOV23:08:00:00,23NOV23:10:00:00,16,10,57,36,34.0,23.0,0.0,5.7352433,0.0,42.770184,Med,35.0,11/23/2023  9:15:00,11/23/2023 10:25:00,11/23/2023 10:03:00,11/23/2023 10:15:00,11/23/2023 11:25:00,11/23/2023 10:25:00,0,Thursday,0.0
4,7,2023-04-07,WN,WN,DCA,MCI,170.0,949,07APR23:15:00:00,07APR23:17:00:00,25,9,59,49,37.9,23.0,0.01,7.646991,0.0001,54.494274,Lrg,545.0,04/07/2023 16:05:00,04/07/2023 18:55:00,04/07/2023 20:08:00,04/07/2023 16:05:00,04/07/2023 18:55:00,04/07/2023 17:55:00,0,Friday,1.0
11,14,2023-11-14,UA,UA,IAD,AUS,223.0,1297,14NOV23:11:00:00,14NOV23:13:00:00,1,16,60,33,33.0,28.0,0.0,5.9090385,0.0,44.52729,Lrg,68.0,11/14/2023 12:30:00,11/14/2023 16:13:00,11/14/2023 15:42:00,11/14/2023 12:30:00,11/14/2023 16:13:00,11/14/2023 15:13:00,0,Tuesday,0.0
5,12,2023-05-12,AA,OO,DFW,COU,108.0,490,12MAY23:07:00:00,12MAY23:09:00:00,18,0,91,76,73.9,70.0,0.0,12.860848,0.0,83.86412,Lrg,64.0,05/12/2023  8:39:00,05/12/2023 10:27:00,05/12/2023 10:26:00,05/12/2023  9:39:00,05/12/2023 11:27:00,05/12/2023 10:27:00,0,Friday,0.0
8,13,2023-08-13,WN,WN,DAL,HOU,65.0,239,13AUG23:19:00:00,13AUG23:21:00:00,10,12,106,84,72.0,63.0,0.0,8.255275,0.0,99.74034,Med,20.0,08/13/2023 20:10:00,08/13/2023 21:15:00,08/13/2023 22:10:00,08/13/2023 21:10:00,08/13/2023 22:15:00,08/13/2023 21:15:00,1,Sunday,1.0
9,8,2023-09-08,WN,WN,BWI,GRR,100.0,528,08SEP23:07:00:00,08SEP23:09:00:00,13,0,93,71,72.0,63.0,0.12,3.910393,0.0,83.6713,Lrg,40.0,09/08/2023  8:25:00,09/08/2023 10:05:00,09/08/2023  9:55:00,09/08/2023  8:25:00,09/08/2023 10:05:00,09/08/2023 10:05:00,0,Friday,0.0
4,4,2023-04-04,WN,WN,SAN,PHX,80.0,304,04APR23:16:00:00,04APR23:18:00:00,8,26,62,49,39.9,21.9,0.0,7.0387077,0.0,55.81649,Lrg,40.0,04/04/2023 17:05:00,04/04/2023 18:25:00,04/04/2023 18:24:00,04/04/2023 20:05:00,04/04/2023 22:25:00,04/04/2023 18:25:00,0,Tuesday,0.0
7,24,2023-07-24,WN,WN,DEN,ONT,135.0,819,24JUL23:08:00:00,24JUL23:10:00:00,49,4,98,63,57.0,45.0,0.09,9.12425,0.0,79.687546,Lrg,40.0,07/24/2023  9:55:00,07/24/2023 12:10:00,07/24/2023 12:16:00,07/24/2023 11:55:00,07/24/2023 14:10:00,07/24/2023 11:10:00,0,Monday,0.0
10,27,2023-10-27,UA,UA,ORD,CVG,78.0,264,27OCT23:20:00:00,27OCT23:22:00:00,79,6,72,45,65.0,38.0,0.07,9.993227,0.0,62.75405,Lrg,208.0,10/27/2023 21:38:00,10/27/2023 22:56:00,10/27/2023 22:39:00,10/27/2023 22:38:00,10/27/2023 23:56:00,10/27/2023 23:56:00,0,Friday,0.0
9,29,2023-09-29,UA,UA,ORD,IAH,163.0,925,29SEP23:20:00:00,29SEP23:22:00:00,77,23,77,59,61.0,57.0,0.0,3.9972906,0.0,67.254776,Lrg,74.0,09/29/2023 21:16:00,09/29/2023 23:59:00,09/29/2023 23:53:00,09/29/2023 22:16:00,09/30/2023  0:59:00,09/29/2023 23:59:00,0,Friday,0.0
4,5,2023-04-05,AA,AA,DFW,SNA,198.0,1205,05APR23:17:00:00,05APR23:19:00:00,37,7,77,52,71.1,30.0,0.0001,13.469131,0.0,63.81305,Lrg,60.0,04/05/2023 18:00:00,04/05/2023 21:18:00,04/05/2023 23:10:00,04/05/2023 19:00:00,04/05/2023 22:18:00,04/05/2023 19:18:00,0,Wednesday,1.0
11,11,2023-11-11,HA,HA,HNL,LIH,41.0,102,11NOV23:16:00:00,11NOV23:18:00:00,14,7,86,76,70.0,66.0,0.0001,12.860848,0.0,81.2814,Med,36.0,11/11/2023 17:35:00,11/11/2023 18:16:00,11/11/2023 18:03:00,11/11/2023 22:35:00,11/11/2023 23:16:00,11/11/2023 18:16:00,0,Saturday,0.0
4,12,2023-04-12,AA,AA,ORD,DCA,106.0,612,12APR23:10:00:00,12APR23:12:00:00,42,16,82,57,46.0,37.9,0.0,12.860848,0.0,70.53589,Lrg,49.0,04/12/2023 11:46:00,04/12/2023 13:32:00,04/12/2023 13:24:00,04/12/2023 12:46:00,04/12/2023 14:32:00,04/12/2023 14:32:00,0,Wednesday,0.0
3,14,2023-03-14,DL,DL,ATL,GSP,52.0,153,14MAR23:14:00:00,14MAR23:16:00:00,39,1,51,31,25.0,21.0,0.0,10.775306,0.0,34.513153,Lrg,71.0,03/14/2023 15:46:00,03/14/2023 16:38:00,03/14/2023 17:20:00,03/14/2023 15:46:00,03/14/2023 16:38:00,03/14/2023 16:38:00,0,Tuesday,1.0
6,23,2023-06-23,UA,UA,ORD,IAD,124.0,588,23JUN23:07:00:00,23JUN23:09:00:00,61,25,86,65,57.0,52.0,0.0,6.169731,0.0,75.7711,Lrg,73.0,06/23/2023  8:45:00,06/23/2023 10:49:00,06/23/2023 10:34:00,06/23/2023  9:45:00,06/23/2023 11:49:00,06/23/2023 11:49:00,0,Friday,0.0
9,17,2023-09-17,WN,WN,MDW,BOS,130.0,861,17SEP23:17:00:00,17SEP23:19:00:00,10,29,69,55,59.0,53.0,1.2,9.471841,0.0,62.63331,Lrg,45.0,09/17/2023 18:55:00,09/17/2023 21:05:00,09/17/2023 21:00:00,09/17/2023 19:55:00,09/17/2023 22:05:00,09/17/2023 22:05:00,0,Sunday,0.0
7,29,2023-07-29,UA,OO,SFO,OTH,102.0,412,29JUL23:10:00:00,29JUL23:12:00:00,28,0,71,56,54.0,52.0,0.0,13.121541,0.0,61.701252,Lrg,102.0,07/29/2023 11:30:00,07/29/2023 13:12:00,07/29/2023 12:47:00,07/29/2023 14:30:00,07/29/2023 16:12:00,07/29/2023 13:12:00,0,Saturday,0.0
7,13,2023-07-13,AA,AA,MKE,DFW,148.0,853,13JUL23:16:00:00,13JUL23:18:00:00,2,35,74,59,62.6,55.9,0.0,5.9090385,0.0,66.55646,Med,45.0,07/13/2023 17:28:00,07/13/2023 19:56:00,07/13/2023 20:03:00,07/13/2023 18:28:00,07/13/2023 20:56:00,07/13/2023 19:56:00,0,Thursday,0.0
5,10,2023-05-10,WN,WN,PHX,ATL,215.0,1587,10MAY23:12:00:00,10MAY23:14:00:00,29,55,81,66,39.0,21.0,0.0,7.2994003,0.0,72.75596,Lrg,50.0,05/10/2023 13:00:00,05/10/2023 16:35:00,05/10/2023 17:52:00,05/10/2023 16:00:00,05/10/2023 18:35:00,05/10/2023 19:35:00,1,Wednesday,1.0
4,6,2023-04-06,WN,WN,DEN,PDX,160.0,991,06APR23:21:00:00,06APR23:23:00:00,27,6,51,21,23.0,1.9,0.0,7.2994003,0.0,30.518578,Lrg,75.0,04/06/2023 22:25:00,04/07/2023  1:05:00,04/07/2023  1:09:00,04/07/2023  0:25:00,04/07/2023  3:05:00,04/07/2023  0:05:00,0,Thursday,0.0
2,21,2023-02-21,DL,DL,BOS,AUS,297.0,1698,21FEB23:06:00:00,21FEB23:08:00:00,33,0,46,33,37.0,25.0,0.15,7.907684,0.0001,32.51611,Lrg,55.0,02/21/2023  7:30:00,02/21/2023 12:27:00,02/21/2023 14:18:00,02/21/2023  7:30:00,02/21/2023 12:27:00,02/21/2023 11:27:00,1,Tuesday,1.0
3,16,2023-03-16,B6,B6,ORD,BOS,141.0,867,16MAR23:18:00:00,16MAR23:20:00:00,58,24,50,41,46.0,24.1,0.21,10.514612,0.0,38.607197,Lrg,40.0,03/16/2023 19:06:00,03/16/2023 21:27:00,03/16/2023 21:10:00,03/16/2023 20:06:00,03/16/2023 22:27:00,03/16/2023 22:27:00,0,Thursday,0.0
1,4,2023-01-04,AA,AA,DFW,TUS,144.0,813,04JAN23:21:00:00,04JAN23:23:00:00,48,4,59,37,35.1,30.9,0.0,4.344881,0.0,45.92994,Lrg,70.0,01/04/2023 22:35:00,01/05/2023  0:59:00,01/05/2023  1:11:00,01/04/2023 23:35:00,01/05/2023  1:59:00,01/04/2023 23:59:00,0,Wednesday,0.0
8,20,2023-08-20,UA,UA,PHX,ORD,211.0,1440,20AUG23:10:00:00,20AUG23:12:00:00,32,16,102,83,65.0,60.0,0.0001,10.340817,0.0,91.44313,Lrg,66.0,08/20/2023 11:38:00,08/20/2023 15:09:00,08/20/2023 15:00:00,08/20/2023 14:38:00,08/20/2023 17:09:00,08/20/2023 17:09:00,0,Sunday,0.0
1,9,2023-01-09,WN,WN,DEN,TPA,200.0,1506,09JAN23:10:00:00,09JAN23:12:00:00,58,14,44,22,28.0,14.0,0.0,7.994581,0.0,29.447504,Lrg,55.0,01/09/2023 11:05:00,01/09/2023 14:25:00,01/09/2023 14:09:00,01/09/2023 13:05:00,01/09/2023 16:25:00,01/09/2023 16:25:00,0,Monday,0.0
8,29,2023-08-29,NK,NK,EWR,ATL,144.0,746,29AUG23:10:00:00,29AUG23:12:00:00,25,43,83,68,70.0,64.0,0.0001,4.431779,0.0,75.847824,Lrg,62.0,08/29/2023 11:40:00,08/29/2023 14:04:00,08/29/2023 14:03:00,08/29/2023 11:40:00,08/29/2023 14:04:00,08/29/2023 14:04:00,0,Tuesday,0.0
3,29,2023-03-29,DL,DL,DTW,PHX,260.0,1671,29MAR23:12:00:00,29MAR23:14:00:00,35,28,47,27,32.0,10.9,0.01,11.470487,0.0001,28.995077,Lrg,70.0,03/29/2023 13:10:00,03/29/2023 17:30:00,03/29/2023 17:40:00,03/29/2023 13:10:00,03/29/2023 18:30:00,03/29/2023 14:30:00,0,Wednesday,0.0
6,8,2023-06-08,WN,WN,BUR,SMF,80.0,358,08JUN23:17:00:00,08JUN23:19:00:00,5,9,72,53,55.0,48.0,0.0,4.5186763,0.0,61.83094,Med,35.0,06/08/2023 18:00:00,06/08/2023 19:20:00,06/08/2023 19:21:00,06/08/2023 21:00:00,06/08/2023 22:20:00,06/08/2023 19:20:00,0,Thursday,0.0
9,30,2023-09-30,DL,DL,MSP,IAH,175.0,1034,30SEP23:08:00:00,30SEP23:10:00:00,20,68,88,67,69.0,64.0,0.15,5.7352433,0.0,77.193275,Lrg,57.0,09/30/2023  9:00:00,09/30/2023 11:55:00,09/30/2023 11:54:00,09/30/2023 10:00:00,09/30/2023 12:55:00,09/30/2023 11:55:00,0,Saturday,0.0
1,13,2023-01-13,WN,WN,PHX,BUR,85.0,369,13JAN23:20:00:00,13JAN23:22:00:00,19,10,76,50,34.0,21.0,0.0,4.2579837,0.0,62.430733,Lrg,80.0,01/13/2023 21:15:00,01/13/2023 22:40:00,01/13/2023 22:40:00,01/13/2023 23:15:00,01/14/2023  0:40:00,01/13/2023 21:40:00,0,Friday,0.0
6,16,2023-06-16,DL,9E,DTW,ALB,96.0,489,16JUN23:09:00:00,16JUN23:11:00:00,10,0,70,57,59.0,52.0,0.08,8.77666,0.0,63.586044,Lrg,54.0,06/16/2023 10:24:00,06/16/2023 12:00:00,06/16/2023 12:49:00,06/16/2023 10:24:00,06/16/2023 12:00:00,06/16/2023 12:00:00,0,Friday,1.0
9,16,2023-09-16,AA,PT,PHL,ROC,83.0,257,16SEP23:20:00:00,16SEP23:22:00:00,18,1,78,59,51.0,46.0,0.0,7.2994003,0.0,68.39749,Lrg,74.0,09/16/2023 21:08:00,09/16/2023 22:31:00,09/16/2023 22:07:00,09/16/2023 21:08:00,09/16/2023 22:31:00,09/16/2023 22:31:00,0,Saturday,0.0
7,17,2023-07-17,G4,G4,BOS,SRQ,200.0,1220,17JUL23:10:00:00,17JUL23:12:00:00,24,4,91,73,73.0,63.0,0.0,6.95181,0.0,81.94133,Lrg,50.0,07/17/2023 11:32:00,07/17/2023 14:52:00,07/17/2023 14:57:00,07/17/2023 11:32:00,07/17/2023 14:52:00,07/17/2023 14:52:00,0,Monday,0.0
2,8,2023-02-08,B6,B6,BOS,LGA,78.0,184,08FEB23:13:00:00,08FEB23:15:00:00,19,37,49,34,33.1,23.0,0.0,10.60151,0.0,35.477398,Lrg,91.0,02/08/2023 14:00:00,02/08/2023 15:18:00,02/08/2023 14:53:00,02/08/2023 14:00:00,02/08/2023 15:18:00,02/08/2023 15:18:00,0,Wednesday,0.0
4,30,2023-04-30,DL,YX,JFK,DCA,85.0,213,30APR23:08:00:00,30APR23:10:00:00,32,10,59,50,59.0,50.0,1.36,9.471841,0.0,54.94018,Lrg,71.0,04/30/2023  9:35:00,04/30/2023 11:00:00,04/30/2023 11:30:00,04/30/2023  9:35:00,04/30/2023 11:00:00,04/30/2023 11:00:00,0,Sunday,0.0
8,31,2023-08-31,HA,HA,HNL,OGG,43.0,100,31AUG23:09:00:00,31AUG23:11:00:00,7,5,87,78,70.0,66.0,0.0001,14.338108,0.0,83.18594,Med,43.0,08/31/2023 10:45:00,08/31/2023 11:28:00,08/31/2023 11:31:00,08/31/2023 16:45:00,08/31/2023 17:28:00,08/31/2023 11:28:00,0,Thursday,0.0
10,16,2023-10-16,F9,F9,PHL,MCO,167.0,861,16OCT23:21:00:00,16OCT23:23:00:00,9,28,63,45,48.0,39.0,0.0,8.168377,0.0,53.118874,Lrg,53.0,10/16/2023 22:31:00,10/17/2023  1:18:00,10/17/2023  1:00:00,10/16/2023 22:31:00,10/17/2023  1:18:00,10/17/2023  1:18:00,0,Monday,0.0
7,9,2023-07-09,DL,DL,ATL,MEM,83.0,332,09JUL23:22:00:00,10JUL23:00:00:00,73,6,91,71,71.1,66.0,0.19,7.907684,0.0,82.370995,Lrg,70.0,07/09/2023 23:35:00,07/10/2023  0:58:00,07/10/2023  1:14:00,07/09/2023 23:35:00,07/10/2023  0:58:00,07/09/2023 23:58:00,0,Sunday,0.0
3,5,2023-03-05,AA,AA,CLE,DFW,182.0,1021,05MAR23:12:00:00,05MAR23:14:00:00,9,35,49,37,34.0,27.0,0.0,7.0387077,0.0,37.24056,Med,52.0,03/05/2023 13:32:00,03/05/2023 16:34:00,03/05/2023 16:25:00,03/05/2023 13:32:00,03/05/2023 16:34:00,03/05/2023 15:34:00,0,Sunday,0.0
11,7,2023-11-07,F9,F9,ATL,MCO,102.0,404,07NOV23:07:00:00,07NOV23:09:00:00,42,12,81,53,51.0,46.0,0.0,5.0400624,0.0,66.32473,Lrg,67.0,11/07/2023  8:53:00,11/07/2023 10:35:00,11/07/2023 10:16:00,11/07/2023  8:53:00,11/07/2023 10:35:00,11/07/2023 10:35:00,0,Tuesday,0.0
11,3,2023-11-03,WN,WN,HOU,SAT,60.0,192,03NOV23:08:00:00,03NOV23:10:00:00,19,3,76,50,60.0,42.0,0.0,4.605574,0.0,63.087234,Med,30.0,11/03/2023  9:00:00,11/03/2023 10:00:00,11/03/2023  9:53:00,11/03/2023 10:00:00,11/03/2023 11:00:00,11/03/2023 10:00:00,0,Friday,0.0
3,5,2023-03-05,WN,WN,LGA,BNA,165.0,764,05MAR23:17:00:00,05MAR23:19:00:00,30,16,53,39,28.9,26.1,0.0,13.382235,0.0,39.32225,Lrg,45.0,03/05/2023 18:50:00,03/05/2023 21:35:00,03/05/2023 21:34:00,03/05/2023 18:50:00,03/05/2023 21:35:00,03/05/2023 20:35:00,0,Sunday,0.0
10,10,2023-10-10,AA,AA,CLT,VPS,102.0,460,10OCT23:20:00:00,10OCT23:22:00:00,64,0,81,50,50.0,43.0,0.0,5.0400624,0.0,66.43023,Lrg,71.0,10/10/2023 21:13:00,10/10/2023 22:55:00,10/10/2023 22:46:00,10/10/2023 21:13:00,10/10/2023 22:55:00,10/10/2023 21:55:00,0,Tuesday,0.0
1,21,2023-01-21,B6,B6,MCO,JFK,159.0,944,21JAN23:14:00:00,21JAN23:16:00:00,29,32,73,59,57.0,48.9,0.0001,7.386298,0.0,64.07327,Lrg,43.0,01/21/2023 15:50:00,01/21/2023 18:29:00,01/21/2023 18:09:00,01/21/2023 15:50:00,01/21/2023 18:29:00,01/21/2023 18:29:00,0,Saturday,0.0
10,15,2023-10-15,WN,WN,LAS,BOI,105.0,519,15OCT23:06:00:00,15OCT23:08:00:00,47,0,87,58,30.0,25.0,0.0,2.6938264,0.0,70.8956,Lrg,40.0,10/15/2023  7:45:00,10/15/2023  9:30:00,10/15/2023  9:16:00,10/15/2023 10:45:00,10/15/2023 12:30:00,10/15/2023 10:30:00,0,Sunday,0.0
7,25,2023-07-25,AA,AA,PIT,ORD,100.0,413,25JUL23:10:00:00,25JUL23:12:00:00,10,17,80,65,65.0,59.0,0.01,4.2579837,0.0,72.70999,Med,50.0,07/25/2023 11:51:00,07/25/2023 13:31:00,07/25/2023 13:08:00,07/25/2023 11:51:00,07/25/2023 13:31:00,07/25/2023 12:31:00,0,Tuesday,0.0
4,21,2023-04-21,NK,NK,LAS,IAH,182.0,1222,21APR23:15:00:00,21APR23:17:00:00,39,41,85,55,28.9,14.0,0.0,4.2579837,0.0,69.87104,Lrg,152.0,04/21/2023 16:30:00,04/21/2023 19:32:00,04/21/2023 19:59:00,04/21/2023 19:30:00,04/21/2023 22:32:00,04/21/2023 21:32:00,1,Friday,1.0
7,20,2023-07-20,AA,AA,AUS,TPA,151.0,928,20JUL23:17:00:00,20JUL23:19:00:00,14,14,102,78,76.0,61.0,0.0,7.820786,0.0,92.34806,Lrg,71.0,07/20/2023 18:28:00,07/20/2023 20:59:00,07/20/2023 21:13:00,07/20/2023 19:28:00,07/20/2023 21:59:00,07/20/2023 21:59:00,1,Thursday,0.0
11,9,2023-11-09,AS,OO,SAN,BOI,140.0,749,09NOV23:17:00:00,09NOV23:19:00:00,11,8,75,47,51.0,27.0,0.0,2.5200312,0.0,60.72892,Lrg,40.0,11/09/2023 18:55:00,11/09/2023 21:15:00,11/09/2023 20:54:00,11/09/2023 21:55:00,11/10/2023  0:15:00,11/09/2023 22:15:00,0,Thursday,0.0
4,18,2023-04-18,DL,DL,MSP,LGA,160.0,1020,18APR23:12:00:00,18APR23:14:00:00,22,33,56,31,27.0,18.0,0.0,6.169731,0.0,43.439045,Lrg,196.0,04/18/2023 13:14:00,04/18/2023 15:54:00,04/18/2023 16:05:00,04/18/2023 14:14:00,04/18/2023 16:54:00,04/18/2023 16:54:00,0,Tuesday,1.0
5,16,2023-05-16,UA,UA,STL,DEN,145.0,770,16MAY23:15:00:00,16MAY23:17:00:00,12,27,69,60,61.0,55.0,0.2,5.995936,0.0,64.08774,Med,62.0,05/16/2023 16:29:00,05/16/2023 18:54:00,05/16/2023 18:33:00,05/16/2023 17:29:00,05/16/2023 19:54:00,05/16/2023 17:54:00,0,Tuesday,0.0
11,10,2023-11-10,AA,PT,CLT,AGS,72.0,140,10NOV23:21:00:00,10NOV23:23:00:00,20,1,69,53,61.0,34.0,0.01,5.6483455,0.0,60.588852,Lrg,54.0,11/10/2023 22:38:00,11/10/2023 23:50:00,11/11/2023  0:09:00,11/10/2023 22:38:00,11/10/2023 23:50:00,11/10/2023 23:50:00,0,Friday,1.0
3,19,2023-03-19,WN,WN,DEN,MIA,225.0,1709,19MAR23:11:00:00,19MAR23:13:00:00,80,16,57,20,12.9,-6.0,0.0,9.298046,0.0,33.439575,Lrg,80.0,03/19/2023 12:30:00,03/19/2023 16:15:00,03/19/2023 15:59:00,03/19/2023 14:30:00,03/19/2023 18:15:00,03/19/2023 18:15:00,0,Sunday,0.0
9,19,2023-09-19,AA,YX,LGA,IAH,239.0,1416,19SEP23:12:00:00,19SEP23:14:00:00,30,5,76,61,57.0,47.0,0.0,11.991872,0.0,67.89937,Lrg,51.0,09/19/2023 13:40:00,09/19/2023 17:39:00,09/19/2023 17:08:00,09/19/2023 13:40:00,09/19/2023 17:39:00,09/19/2023 16:39:00,0,Tuesday,0.0
9,1,2023-09-01,AA,AA,DFW,SAN,182.0,1171,01SEP23:21:00:00,01SEP23:23:00:00,43,18,98,77,63.0,55.0,0.0,8.081479,0.0,86.708954,Lrg,61.0,09/01/2023 22:50:00,09/02/2023  1:52:00,09/02/2023  2:09:00,09/01/2023 23:50:00,09/02/2023  2:52:00,09/01/2023 23:52:00,0,Friday,0.0
7,18,2023-07-18,AA,MQ,PHX,BUR,91.0,369,18JUL23:08:00:00,18JUL23:10:00:00,51,5,118,94,62.0,48.2,0.0,6.169731,0.0,104.86589,Lrg,139.0,07/18/2023  9:59:00,07/18/2023 11:30:00,07/18/2023 11:20:00,07/18/2023 12:59:00,07/18/2023 13:30:00,07/18/2023 11:30:00,0,Tuesday,0.0
5,21,2023-05-21,WN,WN,PHX,SAN,70.0,304,21MAY23:10:00:00,21MAY23:12:00:00,31,17,101,75,48.0,34.0,0.0,5.300755,0.0,86.107414,Lrg,45.0,05/21/2023 11:25:00,05/21/2023 12:35:00,05/21/2023 12:56:00,05/21/2023 14:25:00,05/21/2023 14:35:00,05/21/2023 12:35:00,0,Sunday,1.0
